agri_aqua,agri_aqua,livestock,livestock,professional,professional,services,services,small_business,small_business,trades,trades
rural,urban,rural,urban,rural,urban,rural,urban,rural,urban,rural,urban
63255.5,197903.5,60860.0,69881.5,481893.0,917513.0,,592985.5,164929.0,227245.5,393968.5,629734.5
40876.5,,27262.5,90762.0,332027.5,556799.5,305325.0,384813.0,106244.5,142424.5,331036.5,
70935.5,68853.0,44330.5,60089.0,628961.5,995196.5,344059.5,421171.5,144343.5,179266.0,289758.5,336606.0
99699.5,166040.5,45148.5,59926.5,447455.5,,336175.0,,225443.0,347187.5,261900.0,425126.0
103569.0,160653.5,42760.0,39267.5,433506.5,632838.0,346543.0,498484.0,172380.5,245533.5,268712.0,609281.5
193626.0,202843.5,48112.5,48813.5,396229.0,620528.0,277538.0,328338.0,78328.5,74281.0,265386.0,624610.5
,174479.5,,85283.5,,1231834.0,,701451.5,,391773.5,,1054627.5
42186.5,69984.5,38530.0,33403.0,277575.5,382292.0,219389.0,249047.5,119370.5,143232.5,280410.5,584084.5
44939.0,61242.5,18091.0,57099.0,485252.5,1032659.5,235904.0,319607.5,77377.5,119271.5,205115.0,273247.0
175159.0,136597.5,100881.0,37271.5,377877.5,679121.5,334755.5,434380.0,138252.5,192042.5,347007.0,316281.0
116552.0,64279.0,34022.0,40916.5,499394.5,1033913.0,,478548.5,169107.0,247768.0,330934.0,608404.0
129281.0,,64139.0,50884.5,453255.0,893360.5,,,149874.0,211695.0,288561.5,452041.0
82706.0,101458.5,19290.5,11376.5,446776.5,924760.5,347206.0,485902.0,162667.0,186649.5,305213.0,568877.5
,,,122984.5,,715979.5,,733610.0,,357494.5,,537760.0
112789.5,216573.5,73268.5,81364.5,462452.5,845883.5,348313.5,490338.0,117936.0,140241.5,213391.5,336277.5
120624.5,194327.5,20975.0,27225.5,388112.0,630781.5,279561.0,334378.5,120435.5,179915.5,286135.0,518030.0
86782.0,151297.5,91141.0,98104.5,348037.0,551354.5,295916.5,382601.0,103537.0,142754.5,219318.0,338975.0
91519.0,261621.5,45861.0,30550.0,451642.5,841566.5,396173.0,513419.5,172712.5,216904.0,426004.0,662822.0
113967.0,133566.0,50343.0,67997.0,497952.0,1081460.5,347662.0,460189.0,110291.0,153829.5,322831.0,505028.5
67053.0,87707.0,37308.5,59493.5,585862.5,1093149.5,368987.0,548230.5,179006.0,234131.0,368069.0,830906.5
99811.5,74101.0,45718.5,21909.5,471963.0,828403.0,296124.0,384002.5,130692.0,175198.5,208196.5,325009.0
83767.0,114585.0,36815.0,68023.0,377999.5,674648.0,292616.5,369780.0,135940.0,220339.5,257286.0,421720.5
55735.0,92100.5,43376.5,36949.0,380918.5,,314378.0,425832.0,147106.5,190632.0,322521.5,570818.0
86932.5,132292.5,93472.5,58677.5,464657.0,918059.0,294030.0,403974.5,96652.0,153060.0,302575.0,393221.0
53388.0,75945.0,69380.5,92779.5,494999.5,1056246.5,371719.5,480513.0,132388.5,238941.0,350520.5,801839.5
70213.5,98952.0,43629.5,42353.0,295611.5,533459.5,248276.0,344719.0,43896.5,53735.5,312864.0,474233.5
68547.5,330240.0,29070.5,46932.0,439777.5,626781.5,410049.0,645353.0,136014.5,202188.0,376549.0,876283.0
93136.0,168396.0,32257.5,53451.5,422899.0,755401.0,342890.0,489030.0,120285.0,153628.0,276655.0,
43928.5,61491.0,97918.0,78411.5,473462.0,970893.0,342166.5,466958.0,203049.0,354873.5,278503.0,462598.5
172085.0,,63794.0,,414210.0,,,,156913.5,,274692.5,
103844.0,172431.0,55415.5,19061.0,433363.0,867262.0,280790.5,348821.0,156655.5,199083.5,252472.5,499619.5
128727.0,,,,417895.0,,308589.0,,251269.0,,247611.5,
,57913.5,,177511.0,,617828.0,,622639.5,,250107.0,,763349.0
66125.0,81063.0,90943.0,30324.0,368710.0,586337.5,349004.5,441731.5,93016.5,116150.0,383291.5,417203.5
92196.0,,91311.5,,425076.0,,,,190241.0,,,
131038.5,150180.5,132757.0,105487.5,561977.5,1047781.0,388394.5,596500.0,177793.0,233771.0,586168.5,670648.5
85451.5,1020002.5,85882.5,47576.0,422884.0,821692.5,318899.5,429510.5,119221.0,157152.0,328619.0,571812.5
80671.5,68107.0,27276.0,27497.5,420414.5,822746.5,290571.0,396797.5,108559.0,149304.5,,
62791.5,,76571.0,,418469.5,,368547.0,,162538.5,,360023.5,
118461.0,109971.0,52425.0,19900.5,411128.0,881454.0,351470.5,522023.5,181563.0,285152.5,289678.5,619683.5
51684.5,132644.0,57373.0,44159.0,400178.5,616417.0,312284.5,462778.0,148965.0,190482.0,574924.5,685139.0
159781.0,1631284.0,51225.0,85680.5,423465.0,751618.0,347535.5,542431.5,153712.5,248985.5,334906.0,790850.5
162184.0,,53835.5,114602.5,498269.0,871113.0,409912.0,512993.5,178854.0,267982.5,477547.5,864353.0
74330.5,98044.0,74309.5,36793.0,446401.0,887894.0,411789.0,635084.5,201704.0,218778.0,233808.0,508965.5
69910.0,99719.0,35130.0,13573.0,438768.5,695905.0,327990.5,441671.5,142869.5,212153.5,252895.0,379563.5
