MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region,AvgPopChangeNum
"1","0.000795277493919392",SN1201,Bakel,Tambacounda,0.001
"2","0.633188254151382",SN0201,Bambey,Diourbel,0.633
"3","0.0262847655133701",SN1401,Bignona,Ziguinchor,0.026
"4","0.129684645998182",SN0401,Birkelane,Kaffrine,0.130
"5","-0.0630618710344815",SN1101,Bounkiling,Sedhiou,-0.063
"6","-0.335024573194172",SN1001,Dagana,Saint Louis,-0.335
"7","-0.152650981640062",SN0101,Dakar,Dakar,-0.153
"8","-0.255638061560913",SN0202,Diourbel,Diourbel,-0.256
"9","1.10313599550759",SN0301,Ffatick,Fatick,1.103
"10","-0.0403557084764674",SN0302,Foundiougne,Fatick,-0.040
"11","1.10139176120111",SN0303,Gossas,Fatick,1.101
"12","0.0671657853753262",SN1202,Goudiry,Tambacounda,0.067
"13","0.182160217410786",SN1102,Goudomp,Sedhiou,0.182
"14","3.73995467680849",SN0102,Guediawaye,Dakar,3.740
"15","1.43485936378453",SN0501,Guinguineo,Kaolack,1.435
"16","-0.113630337593279",SN0402,Kaffrine,Kaffrine,-0.114
"17","0.0352687279047466",SN0901,Kanel,Matam,0.035
"18","-1.15459177945332",SN0502,Kaolack,Kaolack,-1.155
"19","0.554005795587534",SN0801,Kebemer,Louga,0.554
"20","0.0672354144123651",SN0601,Kedougou,Kedougou,0.067
"21","-0.00659768975631328",SN0701,Kolda,Kolda,-0.007
"22","0.0971121339006691",SN1203,Koumpentoum,Tambacounda,0.097
"23","-0.104020861849351",SN0403,Koungheul,Kaffrine,-0.104
"24","0.0396033195700432",SN0802,Linguere,Louga,0.040
"25","0.108696416994014",SN0803,Louga,Louga,0.109
"26","0.0652702422129182",SN0404,Malem Hodar,Kaffrine,0.065
"27","-0.0954852691837858",SN0902,Matam,Matam,-0.095
"28","-1.65557936029261",SN0203,Mbacke,Diourbel,-1.656
"29","-0.757170286378888",SN1301,Mbour,Thies,-0.757
"30","0.31213910894987",SN0702,Medina Yoroufoula,Kolda,0.312
"31","-0.0115502382205842",SN0503,Nioro Du Rip,Kaolack,-0.012
"32","0.87572564861118",SN1402,Oussouye,Ziguinchor,0.876
"33","-2.44060673366935",SN0103,Pikine,Dakar,-2.441
"34","-0.0845774297452936",SN0903,Ranerou,Matam,-0.085
"35","0.794157264522697",SN1002,Podor,Saint Louis,0.794
"36","-1.48521517236236",SN0104,Rufisque,Dakar,-1.485
"37","-0.865508989718476",SN1003,Saint Louis,Saint Louis,-0.866
"38","0.457096845816978",SN0602,Salemata,Kedougou,0.457
"39","0.625355518955983",SN0603,Saraya,Kedougou,0.625
"40","0.0964564881050261",SN1103,Sedhiou,Sedhiou,0.096
"41","-0.0939005961508101",SN1204,Tambacounda,Tambacounda,-0.094
"42","-2.54887217966766",SN1302,Thies,Thies,-2.549
"43","-0.111506923478164",SN1303,Tivaoune,Thies,-0.112
"44","0.0308192319399003",SN0703,Velingara,Kolda,0.031
"45","-0.202017857302269",SN1403,Ziguinchor,Ziguinchor,-0.202
