MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region
1,0.0965572964889904,SN1201,Bakel,Tambacounda
2,-0.200444058523112,SN0201,Bambey,Diourbel
3,0.441073893877354,SN1401,Bignona,Ziguinchor
4,0.284633574480839,SN0401,Birkelane,Kaffrine
5,-0.534090366277375,SN1101,Bounkiling,Sedhiou
6,-1.04436704571047,SN1001,Dagana,Saint Louis
7,-0.805539609157377,SN0101,Dakar,Dakar
8,-0.847944762659149,SN0202,Diourbel,Diourbel
9,3.41642303630657,SN0301,Ffatick,Fatick
10,-0.913059287232897,SN0302,Foundiougne,Fatick
11,2.75478638410876,SN0303,Gossas,Fatick
12,0.123085570929352,SN1202,Goudiry,Tambacounda
13,0.360965568975529,SN1102,Goudomp,Sedhiou
14,4.49039234255719,SN0102,Guediawaye,Dakar
15,2.3918496915033,SN0501,Guinguineo,Kaolack
16,-0.679857449579932,SN0402,Kaffrine,Kaffrine
17,0.0841070210231129,SN0901,Kanel,Matam
18,-1.78828408342397,SN0502,Kaolack,Kaolack
19,2.36712614427876,SN0801,Kebemer,Louga
20,0.0449202693671548,SN0601,Kedougou,Kedougou
21,0.254540771496779,SN0701,Kolda,Kolda
22,0.194483041037524,SN1203,Koumpentoum,Tambacounda
23,-0.133819452031454,SN0403,Koungheul,Kaffrine
24,0.128827917506698,SN0802,Linguere,Louga
25,0.903218328513016,SN0803,Louga,Louga
26,-0.0192035744152586,SN0404,Malem Hodar,Kaffrine
27,0.0198539257685774,SN0902,Matam,Matam
28,-3.42590299447371,SN0203,Mbacke,Diourbel
29,-1.4417545077879,SN1301,Mbour,Thies
30,0.211246658565681,SN0702,Medina Yoroufoula,Kolda
31,-0.518642885404214,SN0503,Nioro Du Rip,Kaolack
32,0.838839200907028,SN1402,Oussouye,Ziguinchor
33,-2.49202731599863,SN0103,Pikine,Dakar
34,-0.0519355110497197,SN0903,Ranerou,Matam
35,0.784722837520944,SN1002,Podor,Saint Louis
36,-0.372652586145243,SN0104,Rufisque,Dakar
37,-1.1525133572461,SN1003,Saint Louis,Saint Louis
38,0.46661658370394,SN0602,Salemata,Kedougou
39,0.52593004222533,SN0603,Saraya,Kedougou
40,0.236324985495204,SN1103,Sedhiou,Sedhiou
41,-0.589705886117347,SN1204,Tambacounda,Tambacounda
42,-3.15450875072686,SN1302,Thies,Thies
43,-1.09275280444247,SN1303,Tivaoune,Thies
44,0.577624964921387,SN0703,Velingara,Kolda
45,-0.739143763155825,SN1403,Ziguinchor,Ziguinchor
